堂兄弟,paternal cousins
记录,note or record
嗨,hi or hey
读万卷书 行万里路,read ten thousand books and travel ten thousand miles
租,to rent
自驾游,to go on a road trip
具体,concrete
考虑,to consider or ponder
景点,scenic spot
机场,airport
安排,to arrange
驾驶执照,drivers license
交通规则,traffic rules
出事,to have an accident 
倒霉,to be unlucky
专线,special route
大巴,bus
乘,to take 
轻轨,light rail
地铁,subway
胡同,alley or lane
人力三轮车,trishaw
兵马俑,terracotta
羊肉泡馍,xian food specialty
